Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.7459741109801877,55.64516129032258,0.7132927660019167,63.306451612903224
2,0.5221381884428763,74.69758064516128,0.643864748939391,66.12903225806451
3,0.42620600832085453,80.99798387096774,0.42309347852583856,83.87096774193549
4,0.31759946444822895,87.5,0.37843578092513547,85.88709677419355
5,0.303501381749107,87.80241935483872,0.4248879638410384,82.66129032258065
6,0.26742525434782427,89.81854838709677,0.32955348780078275,87.5
7,0.20233992799635855,91.98588709677419,0.31522769601114337,86.69354838709677
8,0.1813197471802273,93.09475806451613,0.32326390377936826,85.48387096774194
9,0.14437277326660772,95.01008064516128,0.3445184836464544,87.5
10,0.11274351275736286,96.16935483870968,0.36276361250108285,87.09677419354838
11,0.06674098473552975,97.63104838709677,0.4225933128787625,88.70967741935483
12,0.056243372194829486,98.4375,0.4117488428469627,89.51612903225806
13,0.029651296067787634,98.89112903225806,0.5296496393219117,87.90322580645162
14,0.007449065596559986,99.74798387096774,0.4896317268571546,88.70967741935483
15,0.0014161461834690623,100.0,0.5613737404346466,88.70967741935483
16,0.000496293903251494,100.0,0.6028544845119599,88.70967741935483
