Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.8405311468147463,65.27217741935483,0.45855241052566037,78.2258064516129
2,0.33352221512506086,86.39112903225806,0.2561514315105254,90.7258064516129
3,0.22526543040669733,90.47379032258065,0.1507976795396497,93.95161290322581
4,0.1715079319753474,93.04435483870968,0.155576448046392,94.75806451612904
5,0.10623453012216956,95.86693548387096,0.15381559801678504,95.16129032258065
6,0.03409506446933524,98.79032258064517,0.0894119303913847,97.17741935483872
7,0.03431900511326779,98.99193548387096,0.19819195508476226,92.74193548387096
8,0.04692935578679035,97.93346774193549,0.11057238950724563,96.7741935483871
9,0.005508481024017167,99.74798387096774,0.130519857329707,95.96774193548387
10,0.0012610773029160965,100.0,0.10668782658514477,96.7741935483871
11,0.0002488167998278861,100.0,0.1092749307713201,97.58064516129032
12,0.00017673198820580916,100.0,0.11184162361126754,97.58064516129032
13,0.0001482550178333176,100.0,0.11267440573823068,97.58064516129032
14,0.00013562435743375728,100.0,0.11302693554710957,97.58064516129032
15,0.0001243176691699069,100.0,0.11326189537442499,97.58064516129032
