Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.2683254961044558,89.1633064516129,0.15157015189047782,94.75806451612904
2,0.08679394668058282,97.17741935483872,0.15660320943401707,94.35483870967742
3,0.04601840493119051,98.58870967741935,0.07706531972414063,97.58064516129032
4,0.01593046592578532,99.69758064516128,0.042225454603472067,98.38709677419355
5,0.0037087805516597245,100.0,0.04973254448381222,98.79032258064517
6,0.006883799788943912,99.84879032258065,0.05264454788994044,98.38709677419355
7,0.004712139651782045,99.8991935483871,0.059867294775622505,98.38709677419355
8,0.0015772482343421753,100.0,0.0452367857984838,98.79032258064517
9,0.0007965480784356084,100.0,0.051589764001208446,98.38709677419355
10,0.0008828959296572007,100.0,0.05073414599680672,98.79032258064517
11,0.0008593282913822013,100.0,0.05533644694444393,98.38709677419355
12,0.0010458632136320493,100.0,0.04594271874896461,98.79032258064517
13,0.0006651290616812935,100.0,0.04393590711462762,98.79032258064517
