Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.5494979294732474,81.02986611740474,0.2763433960834768,90.89848308051342
2,0.2029962193048209,93.24407826982493,0.18428347382342383,93.11551925320887
3,0.11987803206077934,96.14830072090628,0.12742863209481278,96.03267211201867
4,0.07391506257005627,97.98146240988672,0.11116669550451125,95.79929988331388
5,0.0462547819320991,98.64057672502574,0.0991209182570946,96.14935822637106
6,0.027050403938614347,99.48506694129763,0.06834102249861876,97.31621936989498
7,0.01887200823634955,99.6292481977343,0.07666336488556834,97.19953325554259
8,0.011404550606125906,99.87641606591143,0.05431670190433916,98.01633605600934
9,0.0062568770487525195,99.9794026776519,0.0526919794576449,98.48308051341891
10,0.00410073172712524,100.0,0.05496050957307793,98.01633605600934
