Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.07980358692569037,97.11666666666666,0.006125970947866638,99.86666666666667
2,0.020419518656330182,99.3,0.010027584048608939,99.66666666666667
3,0.014076341021553768,99.51666666666667,0.0017178658174040416,100.0
4,0.007925747049608618,99.725,0.004909280254971236,99.86666666666667
5,0.0020177464136528823,99.95,0.007917651194302986,99.73333333333333
6,0.0012809815208650738,99.96666666666667,9.636182660081734e-05,100.0
7,0.0015978025591793993,99.95,0.0005087817060993984,100.0
8,0.0013045634686677657,99.94166666666666,0.0005385456352766292,100.0
