Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.3039984478751818,86.96666666666667,0.15411025287707647,93.2
2,0.14042447466030716,94.23333333333333,0.14529767735799154,94.66666666666667
3,0.10232438670098781,95.93333333333334,0.10715270018577576,95.06666666666666
4,0.06659132096248989,97.41666666666666,0.13729472541809082,94.26666666666667
5,0.05045540644348754,98.1,0.0361458683287104,98.73333333333333
6,0.02550460750735753,99.09166666666667,0.05827542793750763,97.66666666666667
7,0.028262921581064197,98.96666666666667,0.037281635331610836,98.66666666666667
8,0.007428986194581133,99.73333333333333,0.03437718870444223,98.86666666666667
9,0.0035581958726713008,99.86666666666667,0.06707639854253891,98.33333333333333
10,0.0016044569896051448,99.95833333333334,0.06466939081887055,98.6
