Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,1.0514948078213464,57.260556127703396,0.8252552682349117,65.22753792298717
2,0.6849829823668782,73.7178166838311,0.44845007323467606,85.06417736289382
3,0.4938943869605983,82.16271884654995,0.378427025248039,86.93115519253209
4,0.286547004126864,89.47476828012358,0.2979659008312114,87.28121353558926
5,0.20779547619448263,92.83213182286303,0.25539318460845056,90.54842473745624
6,0.15173518654461624,94.78887744593203,0.24590683205959538,92.41540256709452
7,0.13139427462947603,95.22142121524202,0.2663060663704833,89.26487747957992
8,0.06953053815035201,97.83728115345005,0.24517068465087072,92.53208868144691
9,0.07437859454281422,97.50772399588054,0.32037076503560036,91.94865810968494
10,0.06890014141767327,97.6725025746653,0.27073391065297076,91.83197199533255
