Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.9646898180768124,58.74356333676622,0.37749572388627844,85.76429404900817
2,0.194929719455521,92.97631307929969,0.06229648284196784,98.01633605600934
3,0.05948630287921024,97.81668383110195,0.07200646806451794,97.19953325554259
4,0.025178534405624415,99.13491246138003,0.05923150460531364,97.66627771295215
5,0.022957052056362084,99.25849639546858,0.07513394386289139,97.43290548424739
6,0.022404592879496355,99.1761071060762,0.03833393316852883,98.36639439906651
7,0.012607086958012608,99.54685890834192,0.03764300949381427,99.06651108518086
8,0.002002614185919129,99.89701338825952,0.024375701179220072,99.41656942823805
9,0.018557896365270825,99.40267765190525,0.036651736135130515,99.06651108518086
10,0.0036261249360535867,99.93820803295571,0.01910248607530339,99.53325554259042
