Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.24767461249232292,90.77499999999999,0.1196996926565965,95.6
2,0.06287392171109484,97.65,0.03648012908299764,98.86666666666667
3,0.03907734143039367,98.55000000000001,0.011859577776864172,99.73333333333333
4,0.013359742617234587,99.5,0.005752306925094065,99.73333333333333
5,0.010231072140866066,99.7,0.11251540858329584,96.86666666666667
6,0.0041084884009803015,99.90833333333333,0.0031391335337248166,99.8
7,4.49164890130002e-05,100.0,0.0010066714445929393,100.0
8,1.7610701180425773e-05,100.0,0.0004962206871423404,100.0
9,8.550007244063333e-06,100.0,0.0004484101651378296,100.0
10,5.3077156609333546e-06,100.0,0.0003989598197822488,100.0
