Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.1331903140147527,95.65,0.04931228737781445,98.26666666666667
2,0.02787061154594024,99.125,0.014915702226261297,99.66666666666667
3,0.00868165283324197,99.85833333333333,0.007591204863662521,99.86666666666667
4,0.002663024506609266,99.98333333333333,0.005097045272899171,99.86666666666667
5,0.0010689811911433935,100.0,0.004325529643800109,99.86666666666667
6,0.0005497779958920243,100.0,0.004215218547110757,99.86666666666667
7,0.000318118404422421,100.0,0.003981250921807562,99.86666666666667
8,0.0001972455398645252,100.0,0.004237024716334418,99.8
9,0.00012142661136264603,100.0,0.005124841683408401,99.8
10,8.26420927575479e-05,100.0,0.004977377365071637,99.8
